"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06","3,413.90","3,128.20","3,452.30","3,113.60","1.37B","8.61%"
"Jul 06","3,143.20","3,128.75","3,208.85","2,878.25","1.59B","0.48%"
"Jun 06","3,128.20","3,072.55","3,134.15","2,595.65","2.15B","1.86%"
"May 06","3,071.05","3,557.55","3,774.15","2,896.40","2.39B","-13.68%"
"Apr 06","3,557.60","3,403.15","3,598.95","3,290.35","1.83B","4.56%"
"Mar 06","3,402.55","3,074.60","3,433.85","3,064.00","2.09B","10.66%"
"Feb 06","3,074.70","3,001.30","3,090.30","2,928.10","1.44B","2.45%"
"Jan 06","3,001.10","2,836.80","3,005.10","2,783.85","1.58B","5.80%"
"Dec 05","2,836.55","2,651.60","2,857.00","2,641.95","1.71B","6.95%"
"Nov 05","2,652.25","2,366.80","2,727.05","2,366.80","1.41B","11.86%"
"Oct 05","2,370.95","2,601.00","2,669.20","2,307.45","1.74B","-8.86%"
"Sep 05","2,601.40","2,384.70","2,633.90","2,382.90","1.48B","9.09%"
"Aug 05","2,384.65","2,312.05","2,426.65","2,294.25","1.56B","3.13%"
"Jul 05","2,312.30","2,220.45","2,332.55","2,171.25","1.29B","4.13%"
"Jun 05","2,220.60","2,087.80","2,226.15","2,061.35","1.32B","6.37%"
"May 05","2,087.55","1,903.10","2,099.35","1,898.15","1.15B","9.73%"
"Apr 05","1,902.50","2,035.90","2,084.90","1,896.30","1.14B","-6.54%"
"Mar 05","2,035.65","2,103.10","2,183.45","1,971.15","1.61B","-3.21%"
"Feb 05","2,103.25","2,057.75","2,110.15","2,036.60","1.48B","2.22%"
"Jan 05","2,057.60","2,080.00","2,120.15","1,894.40","1.73B","-1.10%"
"Dec 04","2,080.50","1,960.75","2,088.45","1,944.50","1.95B","6.21%"
"Nov 04","1,958.80","1,787.30","1,963.80","1,776.70","1.55B","9.62%"
"Oct 04","1,786.90","1,744.40","1,829.45","1,737.85","1.73B","2.37%"
"Sep 04","1,745.50","1,631.70","1,760.80","1,619.90","2.27B","6.97%"
"Aug 04","1,631.75","1,631.55","1,658.90","1,573.70","2.43B","-0.03%"
"Jul 04","1,632.30","1,506.65","1,638.70","1,472.55","2.93B","8.42%"
"Jun 04","1,505.60","1,483.90","1,566.50","1,437.90","2.28B","1.48%"
"May 04","1,483.60","1,796.10","1,837.95","1,292.20","2.39B","-17.40%"
"Apr 04","1,796.10","1,771.45","1,912.35","1,771.45","2.04B","1.37%"
"Mar 04","1,771.90","1,798.35","1,898.70","1,669.70","2.44B","-1.58%"
"Feb 04","1,800.30","1,809.30","1,935.80","1,755.65","2.34B","-0.52%"
"Jan 04","1,809.75","1,880.35","2,014.65","1,756.25","2.72B","-3.72%"
"Dec 03","1,879.75","1,615.85","1,914.40","1,615.70","2.34B","16.38%"
"Nov 03","1,615.25","1,556.50","1,630.25","1,509.15","2.31B","3.81%"
"Oct 03","1,555.90","1,416.60","1,574.10","1,407.95","3.47B","9.79%"
"Sep 03","1,417.10","1,356.70","1,430.70","1,285.25","3.22B","4.46%"
"Aug 03","1,356.55","1,185.80","1,365.80","1,164.75","3.09B","14.39%"
